i	k	etaik
0	0	0.150795
0	1	0.849205
0	2	0.000000
1	0	1.000000
1	1	0.000000
1	2	0.000000
2	0	0.000033
2	1	0.999967
2	2	0.000000
3	0	0.000018
3	1	0.999982
3	2	0.000000
4	0	0.000033
4	1	0.999967
4	2	0.000000
5	0	0.000087
5	1	0.490660
5	2	0.509253
6	0	0.000029
6	1	0.999971
6	2	0.000000
7	0	0.000026
7	1	0.999974
7	2	0.000000
8	0	0.000033
8	1	0.999967
8	2	0.000000
9	0	0.000091
9	1	0.490657
9	2	0.509252
10	0	0.000000
10	1	0.000000
10	2	1.000000
11	0	0.000043
11	1	0.999957
11	2	0.000000
12	0	0.294829
12	1	0.705171
12	2	0.000000
13	0	0.177573
13	1	0.822427
13	2	0.000000
14	0	0.587245
14	1	0.000000
14	2	0.412755
15	0	0.999985
15	1	0.000015
15	2	0.000000
16	0	0.176673
16	1	0.823327
16	2	0.000000
17	0	0.002635
17	1	0.539047
17	2	0.458318
18	0	0.000000
18	1	0.000000
18	2	1.000000
19	0	0.000048
19	1	0.999952
19	2	0.000000
20	0	0.489784
20	1	0.000011
20	2	0.510205
21	0	0.544156
21	1	0.000030
21	2	0.455814
22	0	0.999999
22	1	0.000001
22	2	0.000000
23	0	0.544176
23	1	0.000012
23	2	0.455812
24	0	0.000000
24	1	0.000000
24	2	1.000000
25	0	0.000000
25	1	0.000000
25	2	1.000000
26	0	0.304249
26	1	0.695751
26	2	0.000000
27	0	0.000028
27	1	0.999972
27	2	0.000000
28	0	0.000000
28	1	0.000000
28	2	1.000000
29	0	0.000000
29	1	0.000000
29	2	1.000000
30	0	0.000054
30	1	0.999946
30	2	0.000000
31	0	0.000000
31	1	0.527096
31	2	0.472904
32	0	0.000001
32	1	0.999999
32	2	0.000000
33	0	0.000000
33	1	1.000000
33	2	0.000000
34	0	0.000000
34	1	0.527096
34	2	0.472904
35	0	0.233203
35	1	0.766797
35	2	0.000000
36	0	0.000000
36	1	0.527096
36	2	0.472904
37	0	0.005044
37	1	0.533995
37	2	0.460961
38	0	0.000046
38	1	0.999954
38	2	0.000000
39	0	0.000291
39	1	0.486779
39	2	0.512930
40	0	0.486814
40	1	0.000023
40	2	0.513163
41	0	0.486815
41	1	0.000022
41	2	0.513163
42	0	0.484586
42	1	0.000019
42	2	0.515395
43	0	0.999999
43	1	0.000001
43	2	0.000000
44	0	0.486814
44	1	0.000022
44	2	0.513163
45	0	0.491516
45	1	0.000082
45	2	0.508402
46	0	0.486813
46	1	0.000024
46	2	0.513163
47	0	0.280023
47	1	0.719977
47	2	0.000000
48	0	0.486816
48	1	0.000021
48	2	0.513163
49	0	0.999998
49	1	0.000002
49	2	0.000000
50	0	0.000089
50	1	0.490658
50	2	0.509253
51	0	0.000081
51	1	0.490666
51	2	0.509253
52	0	0.534274
52	1	0.000000
52	2	0.465726
53	0	0.999999
53	1	0.000001
53	2	0.000000
54	0	0.444078
54	1	0.000032
54	2	0.555890
55	0	0.000169
55	1	0.491448
55	2	0.508382
56	0	0.000073
56	1	0.490673
56	2	0.509254
57	0	0.002395
57	1	0.539263
57	2	0.458342
58	0	0.000008
58	1	0.999992
58	2	0.000000
59	0	1.000000
59	1	0.000000
59	2	0.000000
60	0	0.463157
60	1	0.000000
60	2	0.536843
61	0	0.000000
61	1	0.000000
61	2	1.000000
62	0	0.000000
62	1	0.000000
62	2	1.000000
63	0	0.442325
63	1	0.000007
63	2	0.557668
64	0	0.420143
64	1	0.000000
64	2	0.579857
65	0	0.000000
65	1	0.000000
65	2	1.000000
66	0	0.000000
66	1	0.000000
66	2	1.000000
67	0	0.000000
67	1	0.000000
67	2	1.000000
68	0	0.000000
68	1	0.000000
68	2	1.000000
69	0	0.000000
69	1	0.000000
69	2	1.000000
70	0	0.000146
70	1	0.491469
70	2	0.508385
71	0	0.000000
71	1	0.000000
71	2	1.000000
72	0	0.000118
72	1	0.489558
72	2	0.510324
73	0	0.000000
73	1	0.000000
73	2	1.000000
74	0	0.000000
74	1	0.000000
74	2	1.000000
75	0	0.000019
75	1	0.999981
75	2	0.000000
76	0	0.000151
76	1	0.491465
76	2	0.508384
77	0	0.000031
77	1	0.999969
77	2	0.000000
78	0	0.000000
78	1	0.000000
78	2	1.000000
79	0	0.000015
79	1	0.999985
79	2	0.000000
80	0	0.001335
80	1	0.487934
80	2	0.510731
81	0	0.279778
81	1	0.720222
81	2	0.000000
82	0	1.000000
82	1	0.000000
82	2	0.000000
83	0	0.001373
83	1	0.487900
83	2	0.510727
84	0	0.000013
84	1	0.999987
84	2	0.000000
85	0	0.175814
85	1	0.824186
85	2	0.000000
86	0	0.000043
86	1	0.999957
86	2	0.000000
87	0	0.280358
87	1	0.719642
87	2	0.000000
88	0	0.999984
88	1	0.000016
88	2	0.000000
89	0	0.000018
89	1	0.999982
89	2	0.000000
90	0	0.000002
90	1	0.573518
90	2	0.426480
91	0	1.000000
91	1	0.000000
91	2	0.000000
92	0	0.000000
92	1	0.606124
92	2	0.393876
93	0	0.590399
93	1	0.000000
93	2	0.409601
94	0	0.740073
94	1	0.259927
94	2	0.000000
95	0	0.002561
95	1	0.539114
95	2	0.458325
96	0	1.000000
96	1	0.000000
96	2	0.000000
97	0	1.000000
97	1	0.000000
97	2	0.000000
98	0	0.000000
98	1	0.000000
98	2	1.000000
99	0	0.590399
99	1	0.000000
99	2	0.409601

