File,AIC
ILM10_replicate0_0.str.admix.K=8.out,2254.618008
ILM10_replicate0_10.str.admix.K=8.out,3298.695056
ILM10_replicate0_11.str.admix.K=8.out,2931.820357
ILM10_replicate0_12.str.admix.K=8.out,2852.853970
ILM10_replicate0_13.str.admix.K=8.out,3205.123573
ILM10_replicate0_14.str.admix.K=8.out,2534.253625
ILM10_replicate0_15.str.admix.K=8.out,2466.633581
ILM10_replicate0_16.str.admix.K=8.out,3986.091764
ILM10_replicate0_17.str.admix.K=8.out,3863.686885
ILM10_replicate0_18.str.admix.K=8.out,2440.433106
ILM10_replicate0_19.str.admix.K=8.out,3300.643450
ILM10_replicate0_1.str.admix.K=8.out,4788.749580
ILM10_replicate0_2.str.admix.K=8.out,3210.860335
ILM10_replicate0_3.str.admix.K=8.out,5963.001612
ILM10_replicate0_4.str.admix.K=8.out,3180.311945
ILM10_replicate0_5.str.admix.K=8.out,2694.368799
ILM10_replicate0_6.str.admix.K=8.out,2742.156876
ILM10_replicate0_7.str.admix.K=8.out,2542.600475
ILM10_replicate0_8.str.admix.K=8.out,2869.660331
ILM10_replicate0_9.str.admix.K=8.out,3461.817890
ILM10_replicate1_0.str.admix.K=8.out,4088.758903
ILM10_replicate1_10.str.admix.K=8.out,2395.424754
ILM10_replicate1_11.str.admix.K=8.out,3228.099523
ILM10_replicate1_12.str.admix.K=8.out,2773.440821
ILM10_replicate1_13.str.admix.K=8.out,2534.354305
ILM10_replicate1_14.str.admix.K=8.out,1922.553305
ILM10_replicate1_15.str.admix.K=8.out,2581.603922
ILM10_replicate1_16.str.admix.K=8.out,3491.790241
ILM10_replicate1_17.str.admix.K=8.out,3556.156175
ILM10_replicate1_18.str.admix.K=8.out,2635.322822
ILM10_replicate1_19.str.admix.K=8.out,3079.967901
ILM10_replicate1_1.str.admix.K=8.out,3878.904130
ILM10_replicate1_2.str.admix.K=8.out,2599.869126
ILM10_replicate1_3.str.admix.K=8.out,3141.312451
ILM10_replicate1_4.str.admix.K=8.out,3954.569850
ILM10_replicate1_5.str.admix.K=8.out,2876.822136
ILM10_replicate1_6.str.admix.K=8.out,2915.704710
ILM10_replicate1_7.str.admix.K=8.out,3083.165359
ILM10_replicate1_8.str.admix.K=8.out,3363.671082
ILM10_replicate1_9.str.admix.K=8.out,3207.870507
ILM10_replicate2_0.str.admix.K=8.out,3346.788203
ILM10_replicate2_10.str.admix.K=8.out,3707.781474
ILM10_replicate2_11.str.admix.K=8.out,2661.510582
ILM10_replicate2_12.str.admix.K=8.out,2693.085282
ILM10_replicate2_13.str.admix.K=8.out,2962.184576
ILM10_replicate2_14.str.admix.K=8.out,2595.401047
ILM10_replicate2_15.str.admix.K=8.out,3809.098615
ILM10_replicate2_16.str.admix.K=8.out,2289.376138
ILM10_replicate2_17.str.admix.K=8.out,3710.482365
ILM10_replicate2_18.str.admix.K=8.out,2264.411374
ILM10_replicate2_19.str.admix.K=8.out,2963.449109
ILM10_replicate2_1.str.admix.K=8.out,4003.901753
ILM10_replicate2_2.str.admix.K=8.out,2429.975036
ILM10_replicate2_3.str.admix.K=8.out,2984.263641
ILM10_replicate2_4.str.admix.K=8.out,2207.252109
ILM10_replicate2_5.str.admix.K=8.out,2115.158809
ILM10_replicate2_6.str.admix.K=8.out,2805.834581
ILM10_replicate2_7.str.admix.K=8.out,2590.829839
ILM10_replicate2_8.str.admix.K=8.out,2891.062954
ILM10_replicate2_9.str.admix.K=8.out,2698.489692
ILM10_replicate3_0.str.admix.K=8.out,2950.849585
ILM10_replicate3_10.str.admix.K=8.out,4014.102237
ILM10_replicate3_11.str.admix.K=8.out,4585.697655
ILM10_replicate3_12.str.admix.K=8.out,3317.007248
ILM10_replicate3_13.str.admix.K=8.out,2365.334911
ILM10_replicate3_14.str.admix.K=8.out,2613.647899
ILM10_replicate3_15.str.admix.K=8.out,3557.855939
ILM10_replicate3_16.str.admix.K=8.out,3351.703500
ILM10_replicate3_17.str.admix.K=8.out,2734.489210
ILM10_replicate3_18.str.admix.K=8.out,2743.824354
ILM10_replicate3_19.str.admix.K=8.out,2429.975036
ILM10_replicate3_1.str.admix.K=8.out,3151.180955
ILM10_replicate3_2.str.admix.K=8.out,6003.502801
ILM10_replicate3_3.str.admix.K=8.out,4608.518641
ILM10_replicate3_4.str.admix.K=8.out,4866.330961
ILM10_replicate3_5.str.admix.K=8.out,2788.358688
ILM10_replicate3_6.str.admix.K=8.out,2333.040864
ILM10_replicate3_7.str.admix.K=8.out,3226.729770
ILM10_replicate3_8.str.admix.K=8.out,2820.681111
ILM10_replicate3_9.str.admix.K=8.out,2776.812909
ILM10_replicate4_0.str.admix.K=8.out,3484.942421
ILM10_replicate4_10.str.admix.K=8.out,3113.329170
ILM10_replicate4_11.str.admix.K=8.out,3448.899723
ILM10_replicate4_12.str.admix.K=8.out,2287.833119
ILM10_replicate4_13.str.admix.K=8.out,4555.924951
ILM10_replicate4_14.str.admix.K=8.out,2555.140360
ILM10_replicate4_15.str.admix.K=8.out,2857.839880
ILM10_replicate4_16.str.admix.K=8.out,2739.044333
ILM10_replicate4_17.str.admix.K=8.out,2430.136239
ILM10_replicate4_18.str.admix.K=8.out,2868.436401
ILM10_replicate4_19.str.admix.K=8.out,1976.228130
ILM10_replicate4_1.str.admix.K=8.out,2948.080542
ILM10_replicate4_2.str.admix.K=8.out,3079.359450
ILM10_replicate4_3.str.admix.K=8.out,2202.530616
ILM10_replicate4_4.str.admix.K=8.out,3068.717625
ILM10_replicate4_5.str.admix.K=8.out,2194.280369
ILM10_replicate4_6.str.admix.K=8.out,2864.136616
ILM10_replicate4_7.str.admix.K=8.out,3232.373551
ILM10_replicate4_8.str.admix.K=8.out,2557.404333
ILM10_replicate4_9.str.admix.K=8.out,3363.677037
