File,BIC
K1_ILM10_replicate0_0.str.admix.K=1.out,1812.218070
K1_ILM10_replicate0_10.str.admix.K=1.out,3099.506723
K1_ILM10_replicate0_11.str.admix.K=1.out,2846.128951
K1_ILM10_replicate0_12.str.admix.K=1.out,2369.468409
K1_ILM10_replicate0_13.str.admix.K=1.out,3353.383450
K1_ILM10_replicate0_14.str.admix.K=1.out,1840.451719
K1_ILM10_replicate0_15.str.admix.K=1.out,2048.741537
K1_ILM10_replicate0_16.str.admix.K=1.out,5072.925824
K1_ILM10_replicate0_17.str.admix.K=1.out,5828.847341
K1_ILM10_replicate0_18.str.admix.K=1.out,1980.145964
K1_ILM10_replicate0_19.str.admix.K=1.out,3549.326850
K1_ILM10_replicate0_1.str.admix.K=1.out,6213.055468
K1_ILM10_replicate0_2.str.admix.K=1.out,3152.097982
K1_ILM10_replicate0_3.str.admix.K=1.out,9223.146864
K1_ILM10_replicate0_4.str.admix.K=1.out,3122.876659
K1_ILM10_replicate0_5.str.admix.K=1.out,2599.625056
K1_ILM10_replicate0_6.str.admix.K=1.out,2513.219947
K1_ILM10_replicate0_7.str.admix.K=1.out,1838.715244
K1_ILM10_replicate0_8.str.admix.K=1.out,2679.947423
K1_ILM10_replicate0_9.str.admix.K=1.out,4737.966364
K1_ILM10_replicate1_0.str.admix.K=1.out,5908.220070
K1_ILM10_replicate1_10.str.admix.K=1.out,1859.724597
K1_ILM10_replicate1_11.str.admix.K=1.out,3089.794824
K1_ILM10_replicate1_12.str.admix.K=1.out,2769.970449
K1_ILM10_replicate1_13.str.admix.K=1.out,1770.570811
K1_ILM10_replicate1_14.str.admix.K=1.out,981.814389
K1_ILM10_replicate1_15.str.admix.K=1.out,2040.753991
K1_ILM10_replicate1_16.str.admix.K=1.out,3834.795879
K1_ILM10_replicate1_17.str.admix.K=1.out,3850.963858
K1_ILM10_replicate1_18.str.admix.K=1.out,2259.041222
K1_ILM10_replicate1_19.str.admix.K=1.out,3225.473483
K1_ILM10_replicate1_1.str.admix.K=1.out,5444.195590
K1_ILM10_replicate1_2.str.admix.K=1.out,2629.826395
K1_ILM10_replicate1_3.str.admix.K=1.out,3283.264657
