File,BIC
ILM15_replicate0_0.str.admix.K=2.out,3662.825492
ILM15_replicate0_10.str.admix.K=2.out,5005.888784
ILM15_replicate0_11.str.admix.K=2.out,3959.203932
ILM15_replicate0_12.str.admix.K=2.out,2633.070139
ILM15_replicate0_13.str.admix.K=2.out,7567.439627
ILM15_replicate0_14.str.admix.K=2.out,6471.533221
ILM15_replicate0_15.str.admix.K=2.out,4123.464084
ILM15_replicate0_16.str.admix.K=2.out,8398.864521
ILM15_replicate0_17.str.admix.K=2.out,3871.309008
ILM15_replicate0_18.str.admix.K=2.out,4267.479478
ILM15_replicate0_19.str.admix.K=2.out,3488.306626
ILM15_replicate0_1.str.admix.K=2.out,6050.082146
ILM15_replicate0_2.str.admix.K=2.out,10414.373025
ILM15_replicate0_3.str.admix.K=2.out,3098.866777
ILM15_replicate0_4.str.admix.K=2.out,4764.750476
ILM15_replicate0_5.str.admix.K=2.out,4260.721487
ILM15_replicate0_6.str.admix.K=2.out,7849.058738
ILM15_replicate0_7.str.admix.K=2.out,2867.889737
ILM15_replicate0_8.str.admix.K=2.out,5352.677836
ILM15_replicate0_9.str.admix.K=2.out,8772.667147
ILM15_replicate1_0.str.admix.K=2.out,5533.625144
ILM15_replicate1_10.str.admix.K=2.out,3264.729768
ILM15_replicate1_11.str.admix.K=2.out,4486.813320
ILM15_replicate1_12.str.admix.K=2.out,5551.500296
ILM15_replicate1_13.str.admix.K=2.out,7320.508969
ILM15_replicate1_14.str.admix.K=2.out,4597.908077
ILM15_replicate1_15.str.admix.K=2.out,4710.829170
ILM15_replicate1_16.str.admix.K=2.out,5158.123270
ILM15_replicate1_17.str.admix.K=2.out,4755.888354
ILM15_replicate1_18.str.admix.K=2.out,4955.313431
ILM15_replicate1_19.str.admix.K=2.out,7031.475397
ILM15_replicate1_1.str.admix.K=2.out,4670.599660
ILM15_replicate1_2.str.admix.K=2.out,4385.613401
ILM15_replicate1_3.str.admix.K=2.out,5649.720476
ILM15_replicate1_4.str.admix.K=2.out,6521.417066
ILM15_replicate1_5.str.admix.K=2.out,4180.788548
ILM15_replicate1_6.str.admix.K=2.out,3059.967177
ILM15_replicate1_7.str.admix.K=2.out,5734.882458
ILM15_replicate1_8.str.admix.K=2.out,5453.547035
ILM15_replicate1_9.str.admix.K=2.out,6005.866117
ILM15_replicate2_0.str.admix.K=2.out,6574.388778
ILM15_replicate2_10.str.admix.K=2.out,5649.720476
ILM15_replicate2_11.str.admix.K=2.out,4618.428847
ILM15_replicate2_12.str.admix.K=2.out,4188.990215
ILM15_replicate2_13.str.admix.K=2.out,4196.111983
ILM15_replicate2_14.str.admix.K=2.out,8002.901265
ILM15_replicate2_15.str.admix.K=2.out,7527.206880
ILM15_replicate2_16.str.admix.K=2.out,5192.141918
ILM15_replicate2_17.str.admix.K=2.out,5767.399542
ILM15_replicate2_18.str.admix.K=2.out,5971.770253
ILM15_replicate2_19.str.admix.K=2.out,4495.268339
ILM15_replicate2_1.str.admix.K=2.out,3140.060798
ILM15_replicate2_2.str.admix.K=2.out,3589.374080
ILM15_replicate2_3.str.admix.K=2.out,3663.268044
ILM15_replicate2_4.str.admix.K=2.out,5013.946090
ILM15_replicate2_5.str.admix.K=2.out,4724.410410
ILM15_replicate2_6.str.admix.K=2.out,6164.545118
ILM15_replicate2_7.str.admix.K=2.out,4765.543811
ILM15_replicate2_8.str.admix.K=2.out,7099.185093
ILM15_replicate2_9.str.admix.K=2.out,9443.226166
ILM15_replicate3_0.str.admix.K=2.out,5503.895054
ILM15_replicate3_10.str.admix.K=2.out,5998.566804
ILM15_replicate3_11.str.admix.K=2.out,10726.691650
ILM15_replicate3_12.str.admix.K=2.out,6219.057368
ILM15_replicate3_13.str.admix.K=2.out,5200.636029
ILM15_replicate3_14.str.admix.K=2.out,5490.019788
ILM15_replicate3_15.str.admix.K=2.out,6316.883967
ILM15_replicate3_16.str.admix.K=2.out,5493.173994
ILM15_replicate3_17.str.admix.K=2.out,7528.928249
ILM15_replicate3_18.str.admix.K=2.out,4168.739521
ILM15_replicate3_19.str.admix.K=2.out,8023.485068
ILM15_replicate3_1.str.admix.K=2.out,6188.904324
ILM15_replicate3_2.str.admix.K=2.out,2686.369930
ILM15_replicate3_3.str.admix.K=2.out,4623.276250
ILM15_replicate3_4.str.admix.K=2.out,7452.365455
ILM15_replicate3_5.str.admix.K=2.out,4467.068031
ILM15_replicate3_6.str.admix.K=2.out,6104.512956
ILM15_replicate3_7.str.admix.K=2.out,3903.327364
ILM15_replicate3_8.str.admix.K=2.out,6630.810848
ILM15_replicate3_9.str.admix.K=2.out,5340.871845
ILM15_replicate4_0.str.admix.K=2.out,5798.783167
ILM15_replicate4_10.str.admix.K=2.out,6379.100823
ILM15_replicate4_11.str.admix.K=2.out,5296.315995
ILM15_replicate4_12.str.admix.K=2.out,4644.892835
ILM15_replicate4_13.str.admix.K=2.out,7086.306430
ILM15_replicate4_14.str.admix.K=2.out,7905.357944
ILM15_replicate4_15.str.admix.K=2.out,5653.816324
ILM15_replicate4_16.str.admix.K=2.out,4876.451691
ILM15_replicate4_17.str.admix.K=2.out,6053.547761
ILM15_replicate4_18.str.admix.K=2.out,3467.894888
ILM15_replicate4_19.str.admix.K=2.out,6443.105425
ILM15_replicate4_1.str.admix.K=2.out,7598.504414
ILM15_replicate4_2.str.admix.K=2.out,3224.147567
ILM15_replicate4_3.str.admix.K=2.out,3572.554218
ILM15_replicate4_4.str.admix.K=2.out,8127.614340
ILM15_replicate4_5.str.admix.K=2.out,4815.969191
ILM15_replicate4_6.str.admix.K=2.out,7754.319324
ILM15_replicate4_7.str.admix.K=2.out,5051.210278
ILM15_replicate4_8.str.admix.K=2.out,3598.135858
ILM15_replicate4_9.str.admix.K=2.out,5277.788706
ILM15_replicate5_0.str.admix.K=2.out,6661.306725
ILM15_replicate5_10.str.admix.K=2.out,4442.164776
ILM15_replicate5_11.str.admix.K=2.out,4585.848878
ILM15_replicate5_12.str.admix.K=2.out,5099.960636
ILM15_replicate5_13.str.admix.K=2.out,3767.740816
ILM15_replicate5_14.str.admix.K=2.out,2397.672844
ILM15_replicate5_15.str.admix.K=2.out,6609.838893
ILM15_replicate5_16.str.admix.K=2.out,4662.679166
ILM15_replicate5_17.str.admix.K=2.out,6766.039116
ILM15_replicate5_18.str.admix.K=2.out,3697.644373
ILM15_replicate5_19.str.admix.K=2.out,4882.523300
ILM15_replicate5_1.str.admix.K=2.out,4897.669986
ILM15_replicate5_2.str.admix.K=2.out,6482.599183
ILM15_replicate5_3.str.admix.K=2.out,4159.401043
ILM15_replicate5_4.str.admix.K=2.out,4305.650106
ILM15_replicate5_5.str.admix.K=2.out,4201.740581
ILM15_replicate5_6.str.admix.K=2.out,3662.757636
ILM15_replicate5_7.str.admix.K=2.out,4843.983326
ILM15_replicate5_8.str.admix.K=2.out,4783.463500
ILM15_replicate5_9.str.admix.K=2.out,4656.498372
ILM15_replicate6_0.str.admix.K=2.out,3459.537321
ILM15_replicate6_10.str.admix.K=2.out,4896.475369
ILM15_replicate6_11.str.admix.K=2.out,5221.110350
ILM15_replicate6_12.str.admix.K=2.out,4230.016801
ILM15_replicate6_13.str.admix.K=2.out,5719.055233
ILM15_replicate6_14.str.admix.K=2.out,7132.102320
ILM15_replicate6_15.str.admix.K=2.out,6222.198909
ILM15_replicate6_16.str.admix.K=2.out,3601.537931
ILM15_replicate6_17.str.admix.K=2.out,5721.811749
ILM15_replicate6_18.str.admix.K=2.out,5565.943555
ILM15_replicate6_19.str.admix.K=2.out,4910.720849
ILM15_replicate6_1.str.admix.K=2.out,9561.410022
ILM15_replicate6_2.str.admix.K=2.out,6182.909443
ILM15_replicate6_3.str.admix.K=2.out,6596.367779
ILM15_replicate6_4.str.admix.K=2.out,3697.644373
ILM15_replicate6_5.str.admix.K=2.out,13486.598159
ILM15_replicate6_6.str.admix.K=2.out,8556.382204
ILM15_replicate6_7.str.admix.K=2.out,4025.402558
ILM15_replicate6_8.str.admix.K=2.out,3424.285394
ILM15_replicate6_9.str.admix.K=2.out,7378.287152
ILM15_replicate7_0.str.admix.K=2.out,3618.468662
ILM15_replicate7_10.str.admix.K=2.out,5579.061145
ILM15_replicate7_11.str.admix.K=2.out,4863.937512
ILM15_replicate7_12.str.admix.K=2.out,7177.777860
ILM15_replicate7_13.str.admix.K=2.out,6204.097085
ILM15_replicate7_14.str.admix.K=2.out,4243.618838
ILM15_replicate7_15.str.admix.K=2.out,6520.898131
ILM15_replicate7_16.str.admix.K=2.out,5182.770811
ILM15_replicate7_17.str.admix.K=2.out,5681.497600
ILM15_replicate7_18.str.admix.K=2.out,10326.434014
ILM15_replicate7_19.str.admix.K=2.out,6269.228986
ILM15_replicate7_1.str.admix.K=2.out,6104.512956
ILM15_replicate7_2.str.admix.K=2.out,7636.617429
ILM15_replicate7_3.str.admix.K=2.out,4298.253712
ILM15_replicate7_4.str.admix.K=2.out,7797.907936
ILM15_replicate7_5.str.admix.K=2.out,4307.758199
ILM15_replicate7_6.str.admix.K=2.out,5171.060329
ILM15_replicate7_7.str.admix.K=2.out,5266.469476
ILM15_replicate7_8.str.admix.K=2.out,6911.426297
ILM15_replicate7_9.str.admix.K=2.out,4932.978530
ILM15_replicate8_0.str.admix.K=2.out,2934.272580
ILM15_replicate8_10.str.admix.K=2.out,6218.001719
ILM15_replicate8_11.str.admix.K=2.out,4198.504878
ILM15_replicate8_12.str.admix.K=2.out,2581.690230
ILM15_replicate8_13.str.admix.K=2.out,4346.716073
ILM15_replicate8_14.str.admix.K=2.out,8985.592372
ILM15_replicate8_15.str.admix.K=2.out,10326.434014
ILM15_replicate8_16.str.admix.K=2.out,4653.770790
ILM15_replicate8_17.str.admix.K=2.out,4568.798757
ILM15_replicate8_18.str.admix.K=2.out,4783.463500
ILM15_replicate8_19.str.admix.K=2.out,3544.212893
ILM15_replicate8_1.str.admix.K=2.out,7570.995546
ILM15_replicate8_2.str.admix.K=2.out,4360.184528
ILM15_replicate8_3.str.admix.K=2.out,4444.938475
ILM15_replicate8_4.str.admix.K=2.out,7393.841710
ILM15_replicate8_5.str.admix.K=2.out,5266.469476
ILM15_replicate8_6.str.admix.K=2.out,6116.019746
ILM15_replicate8_7.str.admix.K=2.out,3533.408216
ILM15_replicate8_8.str.admix.K=2.out,5138.159781
ILM15_replicate8_9.str.admix.K=2.out,5235.660613
ILM15_replicate9_0.str.admix.K=2.out,3358.673953
ILM15_replicate9_10.str.admix.K=2.out,8098.467181
ILM15_replicate9_11.str.admix.K=2.out,3005.551234
ILM15_replicate9_12.str.admix.K=2.out,9225.524968
ILM15_replicate9_13.str.admix.K=2.out,6022.468429
ILM15_replicate9_14.str.admix.K=2.out,4871.341321
ILM15_replicate9_15.str.admix.K=2.out,7760.565616
ILM15_replicate9_16.str.admix.K=2.out,5242.799735
ILM15_replicate9_17.str.admix.K=2.out,5877.361156
ILM15_replicate9_18.str.admix.K=2.out,4763.301668
ILM15_replicate9_19.str.admix.K=2.out,6977.045375
ILM15_replicate9_1.str.admix.K=2.out,3964.060652
ILM15_replicate9_2.str.admix.K=2.out,3864.463097
ILM15_replicate9_3.str.admix.K=2.out,6277.175991
ILM15_replicate9_4.str.admix.K=2.out,5970.170735
ILM15_replicate9_5.str.admix.K=2.out,3051.149042
ILM15_replicate9_6.str.admix.K=2.out,7165.264893
ILM15_replicate9_7.str.admix.K=2.out,4178.732266
ILM15_replicate9_8.str.admix.K=2.out,6508.513182
ILM15_replicate9_9.str.admix.K=2.out,6861.669087
