i	k	etaik
0	0	0.000000
0	1	1.000000
0	2	0.000000
1	0	0.000000
1	1	0.462745
1	2	0.537255
2	0	0.000000
2	1	1.000000
2	2	0.000000
3	0	0.000000
3	1	0.501888
3	2	0.498112
4	0	0.000000
4	1	0.763739
4	2	0.236261
5	0	0.000000
5	1	1.000000
5	2	0.000000
6	0	0.000000
6	1	0.308893
6	2	0.691107
7	0	0.495720
7	1	0.504280
7	2	0.000000
8	0	0.000000
8	1	0.763739
8	2	0.236261
9	0	0.000000
9	1	0.602973
9	2	0.397027
10	0	0.000000
10	1	0.260195
10	2	0.739805
11	0	0.000000
11	1	0.285960
11	2	0.714040
12	0	0.000000
12	1	0.763740
12	2	0.236260
13	0	0.000000
13	1	0.000000
13	2	1.000000
14	0	0.000000
14	1	0.557644
14	2	0.442356
15	0	0.000000
15	1	0.402598
15	2	0.597402
16	0	0.000000
16	1	0.584710
16	2	0.415290
17	0	0.000000
17	1	0.000000
17	2	1.000000
18	0	0.515753
18	1	0.236440
18	2	0.247807
19	0	0.000000
19	1	0.784389
19	2	0.215611
20	0	0.482881
20	1	0.517119
20	2	0.000000
21	0	0.501102
21	1	0.498898
21	2	0.000000
22	0	0.000000
22	1	1.000000
22	2	0.000000
23	0	0.000000
23	1	1.000000
23	2	0.000000
24	0	0.000000
24	1	1.000000
24	2	0.000000
25	0	0.484952
25	1	0.515048
25	2	0.000000
26	0	0.000000
26	1	1.000000
26	2	0.000000
27	0	0.000000
27	1	0.462745
27	2	0.537255
28	0	0.000000
28	1	0.519756
28	2	0.480244
29	0	0.518052
29	1	0.481948
29	2	0.000000
30	0	0.000000
30	1	0.802899
30	2	0.197101
31	0	0.000000
31	1	1.000000
31	2	0.000000
32	0	0.000000
32	1	1.000000
32	2	0.000000
33	0	0.000000
33	1	1.000000
33	2	0.000000
34	0	0.000000
34	1	0.591742
34	2	0.408258
35	0	0.000000
35	1	0.602973
35	2	0.397027
36	0	0.000000
36	1	0.496105
36	2	0.503895
37	0	0.000000
37	1	1.000000
37	2	0.000000
38	0	0.000000
38	1	0.369170
38	2	0.630830
39	0	0.000000
39	1	0.806380
39	2	0.193620
40	0	0.484952
