File,BIC
ILM15_replicate0_0.str.admix.K=8.out,8099.613055
ILM15_replicate0_10.str.admix.K=8.out,8767.429496
ILM15_replicate0_11.str.admix.K=8.out,8275.821452
ILM15_replicate0_12.str.admix.K=8.out,7252.686754
ILM15_replicate0_13.str.admix.K=8.out,12320.334673
ILM15_replicate0_14.str.admix.K=8.out,9911.964268
ILM15_replicate0_15.str.admix.K=8.out,8787.173083
ILM15_replicate0_16.str.admix.K=8.out,13255.612870
ILM15_replicate0_17.str.admix.K=8.out,8516.137102
ILM15_replicate0_18.str.admix.K=8.out,8579.483387
ILM15_replicate0_19.str.admix.K=8.out,8322.223063
ILM15_replicate0_1.str.admix.K=8.out,9843.205144
ILM15_replicate0_2.str.admix.K=8.out,16137.067547
ILM15_replicate0_3.str.admix.K=8.out,7654.146132
ILM15_replicate0_4.str.admix.K=8.out,9312.002660
ILM15_replicate0_5.str.admix.K=8.out,8861.751095
ILM15_replicate0_6.str.admix.K=8.out,11624.038328
ILM15_replicate0_7.str.admix.K=8.out,7436.931477
ILM15_replicate0_8.str.admix.K=8.out,9600.743445
ILM15_replicate0_9.str.admix.K=8.out,13130.617289
ILM15_replicate1_0.str.admix.K=8.out,10071.817364
ILM15_replicate1_10.str.admix.K=8.out,8047.353804
ILM15_replicate1_11.str.admix.K=8.out,8629.930675
ILM15_replicate1_12.str.admix.K=8.out,9821.125285
ILM15_replicate1_13.str.admix.K=8.out,10858.057145
ILM15_replicate1_14.str.admix.K=8.out,9403.043918
ILM15_replicate1_15.str.admix.K=8.out,8950.306298
ILM15_replicate1_16.str.admix.K=8.out,9189.424637
ILM15_replicate1_17.str.admix.K=8.out,8789.783379
ILM15_replicate1_18.str.admix.K=8.out,9142.390871
ILM15_replicate1_19.str.admix.K=8.out,10594.820557
ILM15_replicate1_1.str.admix.K=8.out,8813.884566
ILM15_replicate1_2.str.admix.K=8.out,8781.618281
ILM15_replicate1_3.str.admix.K=8.out,9441.133498
ILM15_replicate1_4.str.admix.K=8.out,10333.860417
ILM15_replicate1_5.str.admix.K=8.out,8430.426274
ILM15_replicate1_6.str.admix.K=8.out,7497.045783
ILM15_replicate1_7.str.admix.K=8.out,9924.813505
ILM15_replicate1_8.str.admix.K=8.out,9045.110687
ILM15_replicate1_9.str.admix.K=8.out,10456.698962
ILM15_replicate2_0.str.admix.K=8.out,10583.288389
ILM15_replicate2_10.str.admix.K=8.out,9441.133498
ILM15_replicate2_11.str.admix.K=8.out,8994.430110
ILM15_replicate2_12.str.admix.K=8.out,8671.157179
ILM15_replicate2_13.str.admix.K=8.out,8649.863366
ILM15_replicate2_14.str.admix.K=8.out,11280.468351
ILM15_replicate2_15.str.admix.K=8.out,11587.670664
ILM15_replicate2_16.str.admix.K=8.out,9663.346441
ILM15_replicate2_17.str.admix.K=8.out,9614.059840
ILM15_replicate2_18.str.admix.K=8.out,9232.081065
ILM15_replicate2_19.str.admix.K=8.out,8127.120550
ILM15_replicate2_1.str.admix.K=8.out,7332.147525
ILM15_replicate2_2.str.admix.K=8.out,8101.485974
ILM15_replicate2_3.str.admix.K=8.out,7922.531454
ILM15_replicate2_4.str.admix.K=8.out,9435.880372
ILM15_replicate2_5.str.admix.K=8.out,8751.429905
ILM15_replicate2_6.str.admix.K=8.out,9979.462996
ILM15_replicate2_7.str.admix.K=8.out,8791.751500
ILM15_replicate2_8.str.admix.K=8.out,11230.136938
ILM15_replicate2_9.str.admix.K=8.out,12899.640482
ILM15_replicate3_0.str.admix.K=8.out,10010.062623
ILM15_replicate3_10.str.admix.K=8.out,10654.622831
ILM15_replicate3_11.str.admix.K=8.out,15790.366939
ILM15_replicate3_12.str.admix.K=8.out,9811.740849
ILM15_replicate3_13.str.admix.K=8.out,9624.596508
ILM15_replicate3_14.str.admix.K=8.out,9211.325673
ILM15_replicate3_15.str.admix.K=8.out,9859.097569
ILM15_replicate3_16.str.admix.K=8.out,9462.257908
ILM15_replicate3_17.str.admix.K=8.out,12063.749401
ILM15_replicate3_18.str.admix.K=8.out,8089.420727
ILM15_replicate3_19.str.admix.K=8.out,11977.072387
