File,AIC
SS5_replicate0_0.str.admix.K=4.out,732.553190
SS5_replicate0_10.str.admix.K=4.out,759.345974
SS5_replicate0_11.str.admix.K=4.out,1069.175908
SS5_replicate0_12.str.admix.K=4.out,922.617891
SS5_replicate0_13.str.admix.K=4.out,1034.988598
SS5_replicate0_14.str.admix.K=4.out,947.558188
SS5_replicate0_15.str.admix.K=4.out,873.240235
SS5_replicate0_16.str.admix.K=4.out,956.446996
SS5_replicate0_17.str.admix.K=4.out,915.069781
SS5_replicate0_18.str.admix.K=4.out,466.626793
SS5_replicate0_19.str.admix.K=4.out,871.996503
SS5_replicate0_1.str.admix.K=4.out,1280.392312
SS5_replicate0_2.str.admix.K=4.out,835.535424
SS5_replicate0_3.str.admix.K=4.out,1138.691267
SS5_replicate0_4.str.admix.K=4.out,451.994157
SS5_replicate0_5.str.admix.K=4.out,918.340422
SS5_replicate0_6.str.admix.K=4.out,1264.094522
SS5_replicate0_7.str.admix.K=4.out,774.394925
SS5_replicate0_8.str.admix.K=4.out,765.379924
SS5_replicate0_9.str.admix.K=4.out,935.897331
SS5_replicate1_0.str.admix.K=4.out,867.556485
SS5_replicate1_10.str.admix.K=4.out,1980.357802
SS5_replicate1_11.str.admix.K=4.out,627.227728
SS5_replicate1_12.str.admix.K=4.out,549.226686
SS5_replicate1_13.str.admix.K=4.out,821.243376
SS5_replicate1_14.str.admix.K=4.out,915.663215
SS5_replicate1_15.str.admix.K=4.out,511.596236
SS5_replicate1_16.str.admix.K=4.out,1335.475061
SS5_replicate1_17.str.admix.K=4.out,789.403179
SS5_replicate1_18.str.admix.K=4.out,842.940243
SS5_replicate1_19.str.admix.K=4.out,673.377571
SS5_replicate1_1.str.admix.K=4.out,570.191084
SS5_replicate1_2.str.admix.K=4.out,507.671049
SS5_replicate1_3.str.admix.K=4.out,774.394925
SS5_replicate1_4.str.admix.K=4.out,974.879265
SS5_replicate1_5.str.admix.K=4.out,1284.481136
SS5_replicate1_6.str.admix.K=4.out,619.772117
SS5_replicate1_7.str.admix.K=4.out,861.462429
SS5_replicate1_8.str.admix.K=4.out,1147.883144
SS5_replicate1_9.str.admix.K=4.out,813.200619
SS5_replicate2_0.str.admix.K=4.out,649.955939
SS5_replicate2_10.str.admix.K=4.out,978.742241
SS5_replicate2_11.str.admix.K=4.out,844.711068
SS5_replicate2_12.str.admix.K=4.out,728.847381
SS5_replicate2_13.str.admix.K=4.out,803.473757
SS5_replicate2_14.str.admix.K=4.out,1340.852980
SS5_replicate2_15.str.admix.K=4.out,498.160336
SS5_replicate2_16.str.admix.K=4.out,989.045009
SS5_replicate2_17.str.admix.K=4.out,517.153132
SS5_replicate2_18.str.admix.K=4.out,998.562361
SS5_replicate2_19.str.admix.K=4.out,663.775537
SS5_replicate2_1.str.admix.K=4.out,614.860017
SS5_replicate2_2.str.admix.K=4.out,1065.617591
SS5_replicate2_3.str.admix.K=4.out,451.409068
SS5_replicate2_4.str.admix.K=4.out,661.022279
SS5_replicate2_5.str.admix.K=4.out,947.426366
SS5_replicate2_6.str.admix.K=4.out,764.392255
SS5_replicate2_7.str.admix.K=4.out,768.484075
SS5_replicate2_8.str.admix.K=4.out,899.668071
SS5_replicate2_9.str.admix.K=4.out,636.834433
SS5_replicate3_0.str.admix.K=4.out,1403.015261
SS5_replicate3_10.str.admix.K=4.out,515.380107
SS5_replicate3_11.str.admix.K=4.out,1947.418839
SS5_replicate3_12.str.admix.K=4.out,773.293317
SS5_replicate3_13.str.admix.K=4.out,917.659339
