i	k	etaik
0	0	0.000000
0	1	1.000000
1	0	0.000001
1	1	0.999999
2	0	0.000000
2	1	1.000000
3	0	0.000000
3	1	1.000000
4	0	0.000001
4	1	0.999999
5	0	0.000001
5	1	0.999999
6	0	0.000000
6	1	1.000000
7	0	0.000000
7	1	1.000000
8	0	0.000000
8	1	1.000000
9	0	0.000001
9	1	0.999999
10	0	0.000000
10	1	1.000000
11	0	0.000000
11	1	1.000000
12	0	0.000000
12	1	1.000000
13	0	0.000000
13	1	1.000000
14	0	0.000000
14	1	1.000000
15	0	0.000000
15	1	1.000000
16	0	0.000000
16	1	1.000000
17	0	0.000000
17	1	1.000000
18	0	0.000000
18	1	1.000000
19	0	0.000000
19	1	1.000000
20	0	0.033195
20	1	0.966805
21	0	0.000000
21	1	1.000000
22	0	0.507925
22	1	0.492075
23	0	0.033195
23	1	0.966805
24	0	0.000000
24	1	1.000000
25	0	0.575705
25	1	0.424295
26	0	0.561507
26	1	0.438493
27	0	0.575705
27	1	0.424295
28	0	0.507926
28	1	0.492074
29	0	0.000000
29	1	1.000000
30	0	0.525637
30	1	0.474363
31	0	1.000000
31	1	0.000000
32	0	1.000000
32	1	0.000000
33	0	0.466000
33	1	0.534000
34	0	0.540469
34	1	0.459531
35	0	0.000001
35	1	0.999999
36	0	1.000000
36	1	0.000000
37	0	1.000000
37	1	0.000000
38	0	0.540469
38	1	0.459531
39	0	1.000000
39	1	0.000000
40	0	1.000000
40	1	0.000000
41	0	1.000000
41	1	0.000000
42	0	1.000000
42	1	0.000000
43	0	1.000000
43	1	0.000000
44	0	1.000000
44	1	0.000000
45	0	1.000000
45	1	0.000000
46	0	1.000000
46	1	0.000000
47	0	1.000000
47	1	0.000000
48	0	1.000000
48	1	0.000000
49	0	1.000000
49	1	0.000000

