Sample_ID	Population
tsk_0	tsk
tsk_1	tsk
tsk_2	tsk
tsk_3	tsk
tsk_4	tsk
tsk_5	tsk
tsk_6	tsk
tsk_7	tsk
tsk_8	tsk
tsk_9	tsk
tsk_10	tsk
tsk_11	tsk
tsk_12	tsk
tsk_13	tsk
tsk_14	tsk
tsk_15	tsk
tsk_16	tsk
tsk_17	tsk
tsk_18	tsk
tsk_19	tsk
tsk_20	tsk
tsk_21	tsk
tsk_22	tsk
tsk_23	tsk
tsk_24	tsk
tsk_25	tsk
tsk_26	tsk
tsk_27	tsk
tsk_28	tsk
tsk_29	tsk
tsk_30	tsk
tsk_31	tsk
tsk_32	tsk
tsk_33	tsk
tsk_34	tsk
tsk_35	tsk
tsk_36	tsk
tsk_37	tsk
tsk_38	tsk
tsk_39	tsk
tsk_40	tsk
tsk_41	tsk
tsk_42	tsk
tsk_43	tsk
tsk_44	tsk
tsk_45	tsk
tsk_46	tsk
tsk_47	tsk
tsk_48	tsk
tsk_49	tsk
tsk_50	tsk
tsk_51	tsk
tsk_52	tsk
tsk_53	tsk
tsk_54	tsk
tsk_55	tsk
tsk_56	tsk
tsk_57	tsk
tsk_58	tsk
tsk_59	tsk
tsk_60	tsk
tsk_61	tsk
tsk_62	tsk
tsk_63	tsk
tsk_64	tsk
tsk_65	tsk
tsk_66	tsk
tsk_67	tsk
tsk_68	tsk
tsk_69	tsk
tsk_70	tsk
tsk_71	tsk
tsk_72	tsk
tsk_73	tsk
tsk_74	tsk
tsk_75	tsk
tsk_76	tsk
tsk_77	tsk
tsk_78	tsk
tsk_79	tsk
tsk_80	tsk
tsk_81	tsk
tsk_82	tsk
tsk_83	tsk
tsk_84	tsk
tsk_85	tsk
tsk_86	tsk
tsk_87	tsk
tsk_88	tsk
tsk_89	tsk
tsk_90	tsk
tsk_91	tsk
tsk_92	tsk
tsk_93	tsk
tsk_94	tsk
tsk_95	tsk
tsk_96	tsk
tsk_97	tsk
tsk_98	tsk
tsk_99	tsk
